integrated_category_id	integrated_category_label	naics_code	sic_code
13125	Dining and Drinking > Restaurant > Chinese Restaurant > Shanghai Restaurant	7225	
13126	Dining and Drinking > Restaurant > Chinese Restaurant > Shanxi Restaurant	7225	
13127	Dining and Drinking > Restaurant > Chinese Restaurant > Szechuan Restaurant	7225	
13128	Dining and Drinking > Restaurant > Chinese Restaurant > Taiwanese Restaurant	7225	
13129	Dining and Drinking > Restaurant > Chinese Restaurant > Tianjin Restaurant	7225	
13130	Dining and Drinking > Restaurant > Chinese Restaurant > Xinjiang Restaurant	7225	
13131	Dining and Drinking > Restaurant > Chinese Restaurant > Yunnan Restaurant	7225	
13132	Dining and Drinking > Restaurant > Chinese Restaurant > Zhejiang Restaurant	7225	
13133	Dining and Drinking > Restaurant > Colombian Restaurant	7225	
13134	Dining and Drinking > Restaurant > Comfort Food Restaurant	7225	
13135	Dining and Drinking > Restaurant > Cuban Restaurant	7225	
13136	Dining and Drinking > Restaurant > Czech Restaurant	7225	
13137	Dining and Drinking > Restaurant > Dumpling Restaurant	7225	
13138	Dining and Drinking > Restaurant > Dutch Restaurant	7225	
13139	Dining and Drinking > Restaurant > Eastern European Restaurant	7225	
13140	Dining and Drinking > Restaurant > Egyptian Restaurant	7225	
13141	Dining and Drinking > Restaurant > Empanada Restaurant	7225	
13142	Dining and Drinking > Restaurant > English Restaurant	7225	
13143	Dining and Drinking > Restaurant > Ethiopian Restaurant	7225	
13144	Dining and Drinking > Restaurant > Falafel Restaurant	7225	
13145	Dining and Drinking > Restaurant > Fast Food Restaurant	7225	
13146	Dining and Drinking > Restaurant > Filipino Restaurant	7225	
13147	Dining and Drinking > Restaurant > Fondue Restaurant	7225	
13148	Dining and Drinking > Restaurant > French Restaurant	7225	
13149	Dining and Drinking > Restaurant > French Restaurant > Alsatian Restaurant	7225	
13150	Dining and Drinking > Restaurant > French Restaurant > Auvergne Restaurant	7225	
13151	Dining and Drinking > Restaurant > French Restaurant > Basque Restaurant	7225	
13152	Dining and Drinking > Restaurant > French Restaurant > Brasserie	7225	
13153	Dining and Drinking > Restaurant > French Restaurant > Breton Restaurant	7225	
13154	Dining and Drinking > Restaurant > French Restaurant > Burgundian Restaurant	7225	
13155	Dining and Drinking > Restaurant > French Restaurant > Catalan Restaurant	7225	
13156	Dining and Drinking > Restaurant > French Restaurant > Ch'ti Restaurant	7225	
13157	Dining and Drinking > Restaurant > French Restaurant > Corsican Restaurant	7225	
13158	Dining and Drinking > Restaurant > French Restaurant > Estaminet	7225	
13159	Dining and Drinking > Restaurant > French Restaurant > Labour Canteen	7225	
13160	Dining and Drinking > Restaurant > French Restaurant > Lyonese Bouchon	7225	
13161	Dining and Drinking > Restaurant > French Restaurant > Norman Restaurant	7225	
13162	Dining and Drinking > Restaurant > French Restaurant > Provençal Restaurant	7225	
13163	Dining and Drinking > Restaurant > French Restaurant > Savoyard Restaurant	7225	
13164	Dining and Drinking > Restaurant > French Restaurant > Southwestern French Restaurant	7225	
13165	Dining and Drinking > Restaurant > German Restaurant	7225	
13166	Dining and Drinking > Restaurant > German Restaurant > Apple Wine Pub	7225	
13167	Dining and Drinking > Restaurant > German Restaurant > Bavarian Restaurant	7225	
13168	Dining and Drinking > Restaurant > German Restaurant > Bratwurst Joint	7225	
13169	Dining and Drinking > Restaurant > German Restaurant > Currywurst Joint	7225	
13170	Dining and Drinking > Restaurant > German Restaurant > Franconian Restaurant	7225	
13171	Dining and Drinking > Restaurant > German Restaurant > German Pop-Up Restaurant	7225	
13172	Dining and Drinking > Restaurant > German Restaurant > Palatine Restaurant	7225	
13173	Dining and Drinking > Restaurant > German Restaurant > Rhenisch Restaurant	7225	
13174	Dining and Drinking > Restaurant > German Restaurant > Schnitzel Restaurant	7225	
13175	Dining and Drinking > Restaurant > German Restaurant > Silesian Restaurant	7225	
13176	Dining and Drinking > Restaurant > German Restaurant > Swabian Restaurant	7225	
13177	Dining and Drinking > Restaurant > Greek Restaurant	7225	
13178	Dining and Drinking > Restaurant > Greek Restaurant > Bougatsa Shop	7225	
13179	Dining and Drinking > Restaurant > Greek Restaurant > Cretan Restaurant	7225	
13180	Dining and Drinking > Restaurant > Greek Restaurant > Fish Taverna	7225	
13181	Dining and Drinking > Restaurant > Greek Restaurant > Grilled Meat Restaurant	722514	5812
13182	Dining and Drinking > Restaurant > Greek Restaurant > Kafenio	7225	
13183	Dining and Drinking > Restaurant > Greek Restaurant > Magirio	7225	
13184	Dining and Drinking > Restaurant > Greek Restaurant > Meze Restaurant	7225	
13185	Dining and Drinking > Restaurant > Greek Restaurant > Modern Greek Restaurant	7225	
13186	Dining and Drinking > Restaurant > Greek Restaurant > Ouzeri	7225	
13187	Dining and Drinking > Restaurant > Greek Restaurant > Patsa Restaurant	7225	
13188	Dining and Drinking > Restaurant > Greek Restaurant > Souvlaki Shop	7225	
13189	Dining and Drinking > Restaurant > Greek Restaurant > Taverna	7225	
13190	Dining and Drinking > Restaurant > Greek Restaurant > Tsipouro Restaurant	7225	
13191	Dining and Drinking > Restaurant > Halal Restaurant	7225	
13192	Dining and Drinking > Restaurant > Hawaiian Restaurant	7225	
13193	Dining and Drinking > Restaurant > Hawaiian Restaurant > Poke Restaurant	7225	
13194	Dining and Drinking > Restaurant > Himalayan Restaurant	7225	
13195	Dining and Drinking > Restaurant > Honduran Restaurant	7225	
13196	Dining and Drinking > Restaurant > Hotpot Restaurant	7225	
13197	Dining and Drinking > Restaurant > Hungarian Restaurant	7225	
13198	Dining and Drinking > Restaurant > Indian Chinese Restaurant	7225	
13199	Dining and Drinking > Restaurant > Indian Restaurant	7225	
13200	Dining and Drinking > Restaurant > Indian Restaurant > Andhra Restaurant	7225	
13201	Dining and Drinking > Restaurant > Indian Restaurant > Awadhi Restaurant	7225	
13202	Dining and Drinking > Restaurant > Indian Restaurant > Bengali Restaurant	7225	
13203	Dining and Drinking > Restaurant > Indian Restaurant > Chaat Place	7225	
13204	Dining and Drinking > Restaurant > Indian Restaurant > Chettinad Restaurant	7225	
13205	Dining and Drinking > Restaurant > Indian Restaurant > Dhaba	7225	
13206	Dining and Drinking > Restaurant > Indian Restaurant > Dosa Place	7225	
13207	Dining and Drinking > Restaurant > Indian Restaurant > Goan Restaurant	7225	
13208	Dining and Drinking > Restaurant > Indian Restaurant > Gujarati Restaurant	7225	
13209	Dining and Drinking > Restaurant > Indian Restaurant > Hyderabadi Restaurant	7225	
13210	Dining and Drinking > Restaurant > Indian Sweet Shop	445292	5145
13211	Dining and Drinking > Restaurant > Indian Restaurant > Irani Cafe	722515	5461
13212	Dining and Drinking > Restaurant > Indian Restaurant > Jain Restaurant	7225	
13213	Dining and Drinking > Restaurant > Indian Restaurant > Karnataka Restaurant	7225	
13214	Dining and Drinking > Restaurant > Indian Restaurant > Kerala Restaurant	7225	
13215	Dining and Drinking > Restaurant > Indian Restaurant > Maharashtrian Restaurant	7225	
13216	Dining and Drinking > Restaurant > Indian Restaurant > Mughlai Restaurant	7225	
13217	Dining and Drinking > Restaurant > Indian Restaurant > Multicuisine Indian Restaurant	7225	
13218	Dining and Drinking > Restaurant > Indian Restaurant > North Indian Restaurant	7225	
13219	Dining and Drinking > Restaurant > Indian Restaurant > Northeast Indian Restaurant	7225	
13220	Dining and Drinking > Restaurant > Indian Restaurant > Parsi Restaurant	7225	
13221	Dining and Drinking > Restaurant > Indian Restaurant > Punjabi Restaurant	7225	
13222	Dining and Drinking > Restaurant > Indian Restaurant > Rajasthani Restaurant	7225	
13223	Dining and Drinking > Restaurant > Indian Restaurant > South Indian Restaurant	7225	
13224	Dining and Drinking > Restaurant > Indian Restaurant > Udupi Restaurant	7225	
13225	Dining and Drinking > Restaurant > Indonesian Restaurant	7225	
13226	Dining and Drinking > Restaurant > Indonesian Restaurant > Acehnese Restaurant	7225	
13227	Dining and Drinking > Restaurant > Indonesian Restaurant > Balinese Restaurant	7225	
13228	Dining and Drinking > Restaurant > Indonesian Restaurant > Betawinese Restaurant	7225	
13229	Dining and Drinking > Restaurant > Indonesian Restaurant > Indonesian Meatball Restaurant	7225	
13230	Dining and Drinking > Restaurant > Indonesian Restaurant > Javanese Restaurant	7225	
13231	Dining and Drinking > Restaurant > Indonesian Restaurant > Manadonese Restaurant	7225	
13232	Dining and Drinking > Restaurant > Indonesian Restaurant > Padangnese Restaurant	7225	
13233	Dining and Drinking > Restaurant > Indonesian Restaurant > Sundanese Restaurant	7225	
13234	Dining and Drinking > Restaurant > Iraqi Restaurant	7225	
13235	Dining and Drinking > Restaurant > Israeli Restaurant	7225	
13236	Dining and Drinking > Restaurant > Italian Restaurant	7225	
13237	Dining and Drinking > Restaurant > Italian Restaurant > Abruzzo Restaurant	7225	
13238	Dining and Drinking > Restaurant > Italian Restaurant > Agriturismo	7225	
13239	Dining and Drinking > Restaurant > Italian Restaurant > Aosta Restaurant	7225	
13240	Dining and Drinking > Restaurant > Italian Restaurant > Basilicata Restaurant	7225	
13241	Dining and Drinking > Restaurant > Italian Restaurant > Calabria Restaurant	7225	
13242	Dining and Drinking > Restaurant > Italian Restaurant > Campanian Restaurant	7225	
13243	Dining and Drinking > Restaurant > Italian Restaurant > Emilia Restaurant	7225	
13244	Dining and Drinking > Restaurant > Italian Restaurant > Friuli Restaurant	7225	
13245	Dining and Drinking > Restaurant > Italian Restaurant > Ligurian Restaurant	7225	
13246	Dining and Drinking > Restaurant > Italian Restaurant > Lombard Restaurant	7225	
13247	Dining and Drinking > Restaurant > Italian Restaurant > Malga	7225	
13248	Dining and Drinking > Restaurant > Italian Restaurant > Marche Restaurant	7225	
13249	Dining and Drinking > Restaurant > Italian Restaurant > Molise Restaurant	7225	
13250	Dining and Drinking > Restaurant > Italian Restaurant > Piadineria	7225	
13251	Dining and Drinking > Restaurant > Italian Restaurant > Piedmontese Restaurant	7225	
13252	Dining and Drinking > Restaurant > Italian Restaurant > Puglia Restaurant	7225	
13253	Dining and Drinking > Restaurant > Italian Restaurant > Romagna Restaurant	7225	
13254	Dining and Drinking > Restaurant > Italian Restaurant > Roman Restaurant	7225	
13255	Dining and Drinking > Restaurant > Italian Restaurant > Sardinian Restaurant	7225	
13256	Dining and Drinking > Restaurant > Italian Restaurant > Sicilian Restaurant	7225	
13257	Dining and Drinking > Restaurant > Italian Restaurant > South Tyrolean Restaurant	7225	
13258	Dining and Drinking > Restaurant > Italian Restaurant > Trattoria/Osteria	7225	
13259	Dining and Drinking > Restaurant > Italian Restaurant > Trentino Restaurant	7225	
13260	Dining and Drinking > Restaurant > Italian Restaurant > Tuscan Restaurant	7225	
13261	Dining and Drinking > Restaurant > Italian Restaurant > Umbrian Restaurant	7225	
13262	Dining and Drinking > Restaurant > Italian Restaurant > Veneto Restaurant	7225	
13263	Dining and Drinking > Restaurant > Japanese Restaurant	7225	
13264	Dining and Drinking > Restaurant > Japanese Restaurant > Donburi Restaurant	7225	
13265	Dining and Drinking > Restaurant > Japanese Restaurant > Japanese Curry Restaurant	7225	
13266	Dining and Drinking > Restaurant > Japanese Restaurant > Japanese Family Restaurant	7225	
13267	Dining and Drinking > Restaurant > Japanese Restaurant > Kaiseki Restaurant	7225	
13268	Dining and Drinking > Restaurant > Japanese Restaurant > Kushikatsu Restaurant	7225	
13269	Dining and Drinking > Restaurant > Japanese Restaurant > Monjayaki Restaurant	7225	
13270	Dining and Drinking > Restaurant > Japanese Restaurant > Nabe Restaurant	7225	
13271	Dining and Drinking > Restaurant > Japanese Restaurant > Okonomiyaki Restaurant	7225	
13272	Dining and Drinking > Restaurant > Japanese Restaurant > Ramen Restaurant	7225	
13273	Dining and Drinking > Restaurant > Japanese Restaurant > Shabu-Shabu Restaurant	7225	
13274	Dining and Drinking > Restaurant > Japanese Restaurant > Soba Restaurant	7225	
13275	Dining and Drinking > Restaurant > Japanese Restaurant > Sukiyaki Restaurant	7225	
13276	Dining and Drinking > Restaurant > Japanese Restaurant > Sushi Restaurant	7225	
13277	Dining and Drinking > Restaurant > Japanese Restaurant > Takoyaki Place	7225	
13278	Dining and Drinking > Restaurant > Japanese Restaurant > Teishoku Restaurant	7225	
13279	Dining and Drinking > Restaurant > Japanese Restaurant > Tempura Restaurant	7225	
13280	Dining and Drinking > Restaurant > Japanese Restaurant > Tonkatsu Restaurant	7225	
13281	Dining and Drinking > Restaurant > Japanese Restaurant > Udon Restaurant	7225	
13282	Dining and Drinking > Restaurant > Japanese Restaurant > Unagi Restaurant	7225	
13283	Dining and Drinking > Restaurant > Japanese Restaurant > Wagashi Place	7225	
13284	Dining and Drinking > Restaurant > Japanese Restaurant > Yakitori Restaurant	7225	
13285	Dining and Drinking > Restaurant > Japanese Restaurant > Yoshoku Restaurant	7225	
13286	Dining and Drinking > Restaurant > Jewish Restaurant	7225	
13287	Dining and Drinking > Restaurant > Jewish Restaurant > Kosher Restaurant	7225	
13288	Dining and Drinking > Restaurant > Kebab Restaurant	7225	
13289	Dining and Drinking > Restaurant > Korean Restaurant	7225	
13290	Dining and Drinking > Restaurant > Korean Restaurant > Bossam/Jokbal Restaurant	7225	
13291	Dining and Drinking > Restaurant > Korean Restaurant > Bunsik Restaurant	7225	
13292	Dining and Drinking > Restaurant > Korean Restaurant > Gukbap Restaurant	7225	
13293	Dining and Drinking > Restaurant > Korean Restaurant > Janguh Restaurant	7225	
13294	Dining and Drinking > Restaurant > Korean Restaurant > Korean BBQ Restaurant	7225	
13295	Dining and Drinking > Restaurant > Korean Restaurant > Samgyetang Restaurant	7225	
13296	Dining and Drinking > Restaurant > Kurdish Restaurant	7225	
13297	Dining and Drinking > Restaurant > Latin American Restaurant	7225	
13298	Dining and Drinking > Restaurant > Lebanese Restaurant	7225	
13299	Dining and Drinking > Restaurant > Malay Restaurant	7225	
13300	Dining and Drinking > Restaurant > Malay Restaurant > Mamak Restaurant	7225	
13301	Dining and Drinking > Restaurant > Mauritian Restaurant	7225	
13302	Dining and Drinking > Restaurant > Mediterranean Restaurant	7225	
13303	Dining and Drinking > Restaurant > Mexican Restaurant	7225	
13304	Dining and Drinking > Restaurant > Mexican Restaurant > Botanero	7225	
13305	Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant	7225	
13306	Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant	7225	
13307	Dining and Drinking > Restaurant > Mexican Restaurant > Tex-Mex Restaurant	7225	
13308	Dining and Drinking > Restaurant > Mexican Restaurant > Yucatecan Restaurant	7225	
13309	Dining and Drinking > Restaurant > Middle Eastern Restaurant	7225	
13310	Dining and Drinking > Restaurant > Modern European Restaurant	7225	
13311	Dining and Drinking > Restaurant > Molecular Gastronomy Restaurant	7225	
13312	Dining and Drinking > Restaurant > Mongolian Restaurant	7225	
13313	Dining and Drinking > Restaurant > Moroccan Restaurant	7225	
13314	Dining and Drinking > Restaurant > New American Restaurant	7225	
13315	Dining and Drinking > Restaurant > Noodle Restaurant	7225	
13316	Dining and Drinking > Restaurant > Pakistani Restaurant	7225	
13317	Dining and Drinking > Restaurant > Persian Restaurant	7225	
13318	Dining and Drinking > Restaurant > Persian Restaurant > Ash and Haleem Place	7225	
13319	Dining and Drinking > Restaurant > Persian Restaurant > Dizi Place	7225	
13320	Dining and Drinking > Restaurant > Persian Restaurant > Gilaki Restaurant	7225	
13321	Dining and Drinking > Restaurant > Persian Restaurant > Jegaraki	7225	
13322	Dining and Drinking > Restaurant > Peruvian Restaurant	7225	
13323	Dining and Drinking > Restaurant > Peruvian Restaurant > Peruvian Roast Chicken Joint	7225	
13324	Dining and Drinking > Restaurant > Polish Restaurant	7225	
13325	Dining and Drinking > Restaurant > Portuguese Restaurant	7225	
13326	Dining and Drinking > Restaurant > Poutine Restaurant	7225	
13327	Dining and Drinking > Restaurant > Puerto Rican Restaurant	7225	
13328	Dining and Drinking > Restaurant > Romanian Restaurant	7225	
13329	Dining and Drinking > Restaurant > Russian Restaurant	7225	
13330	Dining and Drinking > Restaurant > Russian Restaurant > Blini House	7225	
13331	Dining and Drinking > Restaurant > Russian Restaurant > Pelmeni House	7225	
13332	Dining and Drinking > Restaurant > Salad Restaurant	7225	
13333	Dining and Drinking > Restaurant > Salvadoran Restaurant	7225	
13334	Dining and Drinking > Restaurant > Sandwich Restaurant	7225	
13335	Dining and Drinking > Restaurant > Satay Restaurant	7225	
13336	Dining and Drinking > Restaurant > Scandinavian Restaurant	7225	
13337	Dining and Drinking > Restaurant > Scottish Restaurant	7225	
13338	Dining and Drinking > Restaurant > Seafood Restaurant	7225	
13339	Dining and Drinking > Restaurant > Shawarma Restaurant	7225	
13340	Dining and Drinking > Restaurant > Singaporean Restaurant	7225	
13341	Dining and Drinking > Restaurant > Slovak Restaurant	7225	
13342	Dining and Drinking > Restaurant > Soup Restaurant	7225	
13343	Dining and Drinking > Restaurant > South American Restaurant	7225	
13344	Dining and Drinking > Restaurant > Southern / Soul Food Restaurant	7225	
13345	Dining and Drinking > Restaurant > Spanish Restaurant	7225	
13346	Dining and Drinking > Restaurant > Spanish Restaurant > Paella Restaurant	7225	
13347	Dining and Drinking > Restaurant > Spanish Restaurant > Tapas Restaurant	7225	
13348	Dining and Drinking > Restaurant > Sri Lankan Restaurant	7225	
13349	Dining and Drinking > Restaurant > Swiss Restaurant	7225	
13350	Dining and Drinking > Restaurant > Syrian Restaurant	7225	
13351	Dining and Drinking > Restaurant > Tatar Restaurant	7225	
13352	Dining and Drinking > Restaurant > Thai Restaurant	7225	
13353	Dining and Drinking > Restaurant > Thai Restaurant > Som Tum Restaurant	7225	
13354	Dining and Drinking > Restaurant > Theme Restaurant	7225	
13355	Dining and Drinking > Restaurant > Tibetan Restaurant	7225	
13356	Dining and Drinking > Restaurant > Turkish Restaurant	7225	
13357	Dining and Drinking > Restaurant > Turkish Restaurant > Borek Place	7225	
13358	Dining and Drinking > Restaurant > Turkish Restaurant > Cigkofte Place	7225	
13359	Dining and Drinking > Restaurant > Turkish Restaurant > Çöp Şiş Place	7225	
13360	Dining and Drinking > Restaurant > Turkish Restaurant > Doner Restaurant	7225	
13361	Dining and Drinking > Restaurant > Turkish Restaurant > Gozleme Place	7225	
13362	Dining and Drinking > Restaurant > Turkish Restaurant > Kofte Place	7225	
13363	Dining and Drinking > Restaurant > Turkish Restaurant > Kokoreç Restaurant	7225	
13364	Dining and Drinking > Restaurant > Turkish Restaurant > Kumpir Restaurant	7225	
13365	Dining and Drinking > Restaurant > Turkish Restaurant > Kumru Restaurant	7225	
13366	Dining and Drinking > Restaurant > Turkish Restaurant > Manti Place	7225	
13367	Dining and Drinking > Restaurant > Turkish Restaurant > Meyhane	7225	
13368	Dining and Drinking > Restaurant > Turkish Restaurant > Pide Place	7225	
13369	Dining and Drinking > Restaurant > Turkish Restaurant > Pilavcı	7225	
13370	Dining and Drinking > Restaurant > Turkish Restaurant > Söğüş Place	7225	
13371	Dining and Drinking > Restaurant > Turkish Restaurant > Tantuni Restaurant	7225	
13372	Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Coffeehouse	722515	5461
13373	Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Home Cooking Restaurant	7225	
13374	Dining and Drinking > Restaurant > Ukrainian Restaurant	7225	
13375	Dining and Drinking > Restaurant > Ukrainian Restaurant > Varenyky Restaurant	7225	
13376	Dining and Drinking > Restaurant > Ukrainian Restaurant > West-Ukrainian Restaurant	7225	
13377	Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant	7225	
13378	Dining and Drinking > Restaurant > Venezuelan Restaurant	7225	
13379	Dining and Drinking > Restaurant > Vietnamese Restaurant	7225	
13380	Dining and Drinking > Restaurant > Yemeni Restaurant	7225	
13381	Dining and Drinking > Smoothie Shop	445299	5143
13382	Dining and Drinking > Snack Place	722515	5461
13383	Dining and Drinking > Steakhouse	7225	
13384	Dining and Drinking > Tabbakhi	7225	
13385	Dining and Drinking > Truck Stop	722515	5461
13386	Dining and Drinking > Vineyard	712190	7999
13387	Dining and Drinking > Winery	312130	2084
13388	Dining and Drinking > Wings Joint	722513	5812
14000	Event	71	
14001	Event > Conference	61	
14002	Event > Convention	561920	7389
14003	Event > Entertainment Event	71	
14004	Event > Entertainment Event > Festival	71	
14005	Event > Entertainment Event > Music Festival	71	
14006	Event > Entertainment Event > Parade	71	
14007	Event > Entertainment Event > Sporting Event	7113	
14008	Event > Line / Queue	7113	
14009	Event > Marketplace	71	
14010	Event > Marketplace > Christmas Market	44	
14011	Event > Marketplace > Stoop Sale	5619	
14012	Event > Marketplace > Street Fair	5619	
14013	Event > Marketplace > Street Food Gathering	722330	5963
14014	Event > Marketplace > Trade Fair	5619	
14015	Event > Other Event	7113	
15000	Health and Medicine	621111	8011
15001	Health and Medicine > Acupuncture Clinic	621111	8011
15002	Health and Medicine > AIDS Resource	621111	8011
15003	Health and Medicine > Alternative Medicine Clinic	621111	8011
15004	Health and Medicine > Assisted Living Service	623312	8361
15005	Health and Medicine > Blood Bank	621991	8099
15006	Health and Medicine > Chiropractor	621310	8041
15007	Health and Medicine > Dentist	621210	8021
15008	Health and Medicine > Emergency Service	621111	8011
15009	Health and Medicine > Emergency Service > Ambulance Service	621111	8011
15010	Health and Medicine > Emergency Service > Emergency Room	624230	8322
15011	Health and Medicine > Healthcare Clinic	621111	8011
15012	Health and Medicine > Home Health Care Service	54	
15013	Health and Medicine > Hospice	623110	8051
15014	Health and Medicine > Hospital	622110	8062
15015	Health and Medicine > Maternity Clinic	622310	8069
15016	Health and Medicine > Medical Center	621111	8011
15017	Health and Medicine > Medical Lab	621511	8071
15018	Health and Medicine > Mental Health Service	621111	8011
15019	Health and Medicine > Mental Health Service > Mental Health Clinic	621112	8011
15020	Health and Medicine > Mental Health Service > Psychologist	621111	8011
15021	Health and Medicine > Nurse	621111	8011
15022	Health and Medicine > Nursing Home	621111	8011
15023	Health and Medicine > Nutritionist	621399	8049
15024	Health and Medicine > Optometrist	622310	8069
15025	Health and Medicine > Other Healthcare Professional	621112	8011
15026	Health and Medicine > Physical Therapy Clinic	621340	8049
15027	Health and Medicine > Physician	621112	8011
15028	Health and Medicine > Physician > Anesthesiologist	621112	8011
15029	Health and Medicine > Physician > Cardiologist	621112	8011
15030	Health and Medicine > Physician > Dermatologist	621112	8011
15031	Health and Medicine > Physician > Doctor's Office	621112	8011
15032	Health and Medicine > Physician > Ear, Nose and Throat Doctor	621112	8011
15033	Health and Medicine > Physician > Family Medicine Doctor	621112	8011
15034	Health and Medicine > Physician > Gastroenterologist	621112	8011
15035	Health and Medicine > Physician > General Surgeon	621112	8011
15036	Health and Medicine > Physician > Geriatric Doctor	621112	8011
15037	Health and Medicine > Physician > Internal Medicine Doctor	621112	8011
15038	Health and Medicine > Physician > Neurologist	621112	8011
15039	Health and Medicine > Physician > Obstetrician Gynecologist (Ob-gyn)	621112	8011
15040	Health and Medicine > Physician > Oncologist	621112	8011
15041	Health and Medicine > Physician > Ophthalmologist	622310	8069
15042	Health and Medicine > Physician > Oral Surgeon	621112	8011
15043	Health and Medicine > Physician > Orthopedic Surgeon	621112	8011
15044	Health and Medicine > Physician > Pathologist	621112	8011
15045	Health and Medicine > Physician > Pediatrician	621112	8011
15046	Health and Medicine > Physician > Plastic Surgeon	621112	8011
15047	Health and Medicine > Physician > Psychiatrist	621112	8011
15048	Health and Medicine > Physician > Radiologist	621112	8011
15049	Health and Medicine > Physician > Respiratory Doctor	621112	8011
15050	Health and Medicine > Physician > Urologist	621112	8011
15051	Health and Medicine > Podiatrist	621112	8011
15052	Health and Medicine > Sports Medicine Clinic	621111	8011
15053	Health and Medicine > Urgent Care Center	621493	8011
15054	Health and Medicine > Veterinarian	541940	741
15055	Health and Medicine > Weight Loss Center	713940	7991
15056	Health and Medicine > Women's Health Clinic	621111	8011
16000	Landmarks and Outdoors	713940	7991
16001	Landmarks and Outdoors > Bathing Area	713990	7911
16002	Landmarks and Outdoors > Bay	713990	7911
16003	Landmarks and Outdoors > Beach	713990	7911
16004	Landmarks and Outdoors > Bike Trail	713990	7911
16005	Landmarks and Outdoors > Botanical Garden	712130	8422
16006	Landmarks and Outdoors > Bridge	48	
16007	Landmarks and Outdoors > Building / Structure	53	
16008	Landmarks and Outdoors > Campground	721211	7033
16009	Landmarks and Outdoors > Canal	48	
16010	Landmarks and Outdoors > Canal Lock	48	
16011	Landmarks and Outdoors > Castle	53	
16012	Landmarks and Outdoors > Cave	712190	7999
16013	Landmarks and Outdoors > Dive Spot	71	
16014	Landmarks and Outdoors > Farm	111199	119
16015	Landmarks and Outdoors > Forest	712190	7999
16016	Landmarks and Outdoors > Fountain	712190	7999
16017	Landmarks and Outdoors > Garden	11	
16018	Landmarks and Outdoors > Harbor / Marina	712190	7999
16019	Landmarks and Outdoors > Hiking Trail	712190	7999
16020	Landmarks and Outdoors > Historic and Protected Site	712120	8412
16021	Landmarks and Outdoors > Hot Spring	712190	7999
16022	Landmarks and Outdoors > Island	712190	7999
16023	Landmarks and Outdoors > Lake	712190	7999
16024	Landmarks and Outdoors > Lighthouse	488310	4491
16025	Landmarks and Outdoors > Memorial Site	712120	8412
16026	Landmarks and Outdoors > Monument	236220	1522
16027	Landmarks and Outdoors > Mountain	712190	7999
16028	Landmarks and Outdoors > Nature Preserve	712190	7999
16029	Landmarks and Outdoors > Nudist Beach	713990	7911
16030	Landmarks and Outdoors > Other Great Outdoors	712190	7999
16031	Landmarks and Outdoors > Palace	53	
16032	Landmarks and Outdoors > Park	712190	7999
16033	Landmarks and Outdoors > Park > Dog Park	713940	7991
16034	Landmarks and Outdoors > Park > National Park	712190	7999
16035	Landmarks and Outdoors > Park > Natural Park	712190	7999
16036	Landmarks and Outdoors > Park > Picnic Area	712190	7999
16037	Landmarks and Outdoors > Park > Playground	71	
16038	Landmarks and Outdoors > Park > State / Provincial Park	712190	7999
16039	Landmarks and Outdoors > Park > Urban Park	712190	7999
16040	Landmarks and Outdoors > Pedestrian Plaza	44	
16041	Landmarks and Outdoors > Plaza	44	
16042	Landmarks and Outdoors > Reservoir	712190	7999
16043	Landmarks and Outdoors > River	712190	7999
16044	Landmarks and Outdoors > Rock Climbing Spot	71	
16045	Landmarks and Outdoors > Roof Deck	71	
16046	Landmarks and Outdoors > Scenic Lookout	712190	7999
16047	Landmarks and Outdoors > Sculpture Garden	712190	7999
16048	Landmarks and Outdoors > Stable	53	
16049	Landmarks and Outdoors > Surf Spot	713990	7911
16050	Landmarks and Outdoors > Tunnel	488490	4173
16051	Landmarks and Outdoors > Volcano	712190	7999
16052	Landmarks and Outdoors > Waterfall	712190	7999
16053	Landmarks and Outdoors > Waterfront	712190	7999
16054	Landmarks and Outdoors > Windmill	11	
17000	Retail	44	
17001	Retail > Adult Store	44	
17002	Retail > Antique Store	453310	5932
17003	Retail > Arts and Crafts Store	453998	5085
17004	Retail > Auction House	44	
17005	Retail > Automotive Retail	332710	3599
17006	Retail > Automotive Retail > Car Dealership	441110	5511
17007	Retail > Automotive Retail > Car Dealership > Classic and Antique Car Dealership	441110	5511
17008	Retail > Automotive Retail > Car Dealership > New Car Dealership	441110	5511
17009	Retail > Automotive Retail > Car Dealership > RV and Motorhome Dealership	441110	5511
17010	Retail > Automotive Retail > Car Dealership > Used Car Dealership	441110	5511
17011	Retail > Automotive Retail > Car Parts and Accessories	441310	5013
17012	Retail > Automotive Retail > Motorcycle Dealership	441228	5571
17013	Retail > Automotive Retail > Motorsports Store	441228	5571
17014	Retail > Baby Store	44813	
17015	Retail > Betting Shop	713290	7993
17016	Retail > Big Box Store	44	
17017	Retail > Board Store	44	
17018	Retail > Bookstore	451211	5192
17019	Retail > Bookstore > Used Bookstore	453310	5932
17020	Retail > Boutique	44	
17021	Retail > Cannabis Store	453998	5085
17022	Retail > Comic Book Store	451212	5994
17023	Retail > Computers and Electronics Retail	443142	5045
